u(t),theta,theta_dot
0.15915125880740277,-1.5712207016870592,-0.06629206112463017
0.0,-1.5718751678960625,-0.06436274656466573
0.0,-1.572503756731699,-0.06112645116702593
0.0,-1.5730936153450026,-0.056655759021805044
0.0,-1.5736329735117558,-0.051049035953155034
0.0,-1.5741114657625417,-0.04443055419588282
0.0,-1.5745212102411035,-0.03694735580480268
0.0,-1.5748529403766982,-0.02875650144163578
0.0,-1.5750990910327893,-0.02002293426082964
0.0,-1.5752544363703165,-0.010919732554766033
0.0,-1.5753160898476948,-0.0016281097537611047
0.0,-1.5752835042208146,0.007662585573934753
0.0,-1.5751584715430424,0.01675486972213676
0.0,-1.5749451231652196,0.025443123846725854
0.0,-1.5746495190718715,0.033529063164888004
0.0,-1.574277318655574,0.04088721662626823
0.0,-1.5738361094101325,0.0473645128489088
0.0,-1.5733349058712065,0.05282604162365978
0.0,-1.5727839463543196,0.05716449781645713
0.0,-1.572194692954861,0.06030018136832278
0.0,-1.5715798315480833,0.06218099729536462
0.0,-1.5709532355871267,0.06278250661122473
0.0,-1.5703272070147782,0.062106812421113294
0.0,-1.5697142738620782,0.06016844971919996
0.0,-1.5691273555842518,0.05700488329671416
0.0,-1.5685783273445937,0.052681240540972736
0.0,-1.5680780200144684,0.047290311435379956
0.0,-1.5676362201733085,0.040952548559427635
0.0,-1.5672616701086173,0.033816067088694945
0.0,-1.566961427782426,0.026043154742773092
0.0,-1.5667405384218314,0.017781975818638607
0.0,-1.5666040542895487,0.00920667839144991
0.0,-1.5665549476964191,0.0004927417079976584
0.0,-1.5665940038557418,-0.008184743114352244
0.0,-1.5667198208832758,-0.01665107308765864
0.0,-1.5669288097972387,-0.024731933353404997
0.0,-1.5672151945183073,-0.032253397182499616
0.0,-1.567572292613916,-0.0390685144379047
0.0,-1.567993136712107,-0.04505015196462727
0.0,-1.5684689702920895,-0.05006984410116135
0.0,-1.5689900679036557,-0.05402618134054252
0.0,-1.5695457361844531,-0.0568448367286218
0.0,-1.5701243138599847,-0.05847856586406569
0.0,-1.5707131717436087,-0.05890720689835618
0.0,-1.5712997426873527,-0.05813716566727888
0.0,-1.5718730149440097,-0.05618986012524018
0.0,-1.5724207349127275,-0.053102789318338256
0.0,-1.5729316449636823,-0.048938112347580304
0.0,-1.573395602040721,-0.043782824963054155
0.0,-1.573803577661361,-0.037748759563928314
0.0,-1.5741476579167912,-0.030972585198451894
0.0,-1.574421106514923,-0.02361443156633083
0.0,-1.574619605880251,-0.015819706188828213
0.0,-1.574739059469577,-0.007746885563218359
0.0,-1.5747766572601305,0.00043573361320112594
0.0,-1.5747316347910603,0.008562740945944142
0.0,-1.5746052731634348,0.01647161234333621
0.0,-1.5744008990402412,0.024002710016514446
0.0,-1.5741238846463856,0.03099928247942759
0.0,-1.5737814014115108,0.037312208894768564
0.0,-1.5733802059326523,0.04283185237677385
0.0,-1.572928541798003,0.04744268025677622
0.0,-1.572435704169583,0.051048066126417976
0.0,-1.5719117301086623,0.053577841726101964
0.0,-1.5713673985757637,0.05498829694499148
0.0,-1.5708142304306607,0.05526217982101027
0.0,-1.570264443622026,0.05440866326458912
0.0,-1.5697286228792093,0.052456832840010424
0.0,-1.5692175955599577,0.04944656193248246
0.0,-1.5687421751532018,0.04543795266024721
0.0,-1.5683119725356693,0.040512744115467444
0.0,-1.5679353959718858,0.03477431236422682
0.0,-1.5676196511141736,0.028347670446529836
0.0,-1.5673707410026525,0.021379468376301898
0.0,-1.567193124550597,0.01402761167773666
0.0,-1.567089432201874,0.006429289941085695
0.0,-1.5670621930093729,-0.0012549108833234228
0.0,-1.5671121831393477,-0.008866804786975345
0.0,-1.5672382849177051,-0.016253758320232972
0.0,-1.5674374868300027,-0.02326869059233752
0.0,-1.5677048835214502,-0.02977007327140853
0.0,-1.568033675796909,-0.035621930584443844
0.0,-1.5684160455558234,-0.040706601732301124
0.0,-1.5688447886913746,-0.04493615355619332
0.0,-1.5693109343809135,-0.048218553685110396
0.0,-1.5698049480419434,-0.05048627628728799
0.0,-1.5703167998512246,-0.05169752881198973
0.0,-1.5708359647447758,-0.051836251989507046
0.0,-1.5713514224178735,-0.05091211983115923
0.0,-1.5718519655527556,-0.04895962514858783
0.0,-1.5723284232340438,-0.04602458425749956
0.0,-1.5727707602049987,-0.04216631471235464
0.0,-1.5731697148637287,-0.037462777620534425
0.0,-1.5735173182014528,-0.03201005923420497
0.0,-1.5738068938025023,-0.025922370950317155
0.0,-1.5740330578443196,-0.0193320493106067
0.0,-1.5741917190974595,-0.01238955600159413
0.0,-1.574280517356726,-0.005243215112347124
0.0,-1.5742981770399673,0.0019725248200749904
0.0,-1.5742439384848834,0.009103771029011241
0.0,-1.574118749498673,0.016004580458134455
0.0,-1.5739252794370693,0.022537400306385402
